site,id
MLA,845041373
MLA,750925229
MLA,693105237
MLA,806113846
MLA,655915616
MLA,849015677
MLA,806707270
MLA,823408605
MLA,617061280
MLA,664384760
MLA,840506533
MLA,845906811
MLA,785849983
MLA,799677426
MLA,848479382
MLA,840423199
MLA,828617220
MLA,848355425
MLA,830371755
MLA,817422311
MLA,716231721
MLA,808817242
MLA,707302182
MLA,630239658
MLA,609500365
MLA,723145127
MLA,724839805
MLA,782750723
MLA,786805209
MLA,814323864
MLA,843860595
MLA,847809606
MLA,737212415
MLA,827595664
MLA,737829195
MLA,725116438
MLA,609255349
MLA,806700707
MLA,851879971
MLA,851082070
MLA,770008682
MLA,673642046
MLA,603924637
MLA,686162926
MLA,835239707
MLA,819745375
MLA,807605068
MLA,742439189
MLA,715991583
MLA,779107360
MLA,735750579
MLA,843401574
MLA,727165201
MLA,607119257
MLA,786573311
MLA,739618416
MLA,607438646
MLA,673834860
MLA,851057657
MLA,794540382
MLA,722387381
MLA,799296165
MLA,686664590
MLA,846930047
MLA,612770416
MLA,842712551
MLA,823508214
MLA,847437000
MLA,742313275
MLA,803031611
MLA,764771671
MLA,833851771
MLA,847557520
MLA,725731274
MLA,834135854
MLA,737698476
MLA,690007710
MLA,702063276
MLA,837999540
MLA,834206031
MLA,772873312
MLA,827019955
MLA,710265519
MLA,740990472
MLA,801252734
MLA,799473620
MLA,839806015
MLA,846032215
MLA,775784447
MLA,814703014
MLA,736703886
MLA,828599701
MLA,742004561
MLA,608437127
MLA,838984922
MLA,836336056
MLA,843539059
MLA,606691586
MLA,711759823
MLA,835483361
MLA,609864519
MLA,719992002
MLA,696030721
MLA,827507732
MLA,610021511
MLA,810607762
MLA,847787415
MLA,640352504
MLA,729917075
MLA,825958422
MLA,780681284
MLA,731983038
MLA,806385308
MLA,848254629
MLA,823989335
MLA,850569812
MLA,841755590
MLA,849335390
MLA,651850167
MLA,804075087
MLA,848915557
MLA,832459396
MLA,710690236
MLA,808632141
MLA,717159516
MLA,815158306
MLA,844194860
MLA,604611841
MLA,791716281
MLA,761393457
MLA,830397933
MLA,684767912
MLA,680932331
MLA,729786330
MLA,849544868
MLA,801907741
MLA,835247838
MLA,837710381
MLA,712873434
MLA,728625800
MLA,836765686
MLA,721135669
MLA,745857938
MLA,740109244
MLA,843665082
MLA,705512014
MLA,725851161
MLA,805625718
MLA,806383110
MLA,699901642
MLA,808367568
MLA,772600212
MLA,813208911
MLA,815827834
MLA,740115317
MLA,843750782
MLA,838357547
MLA,733037852
MLA,844236720
MLA,823631067
MLA,764446969
MLA,755866595
MLA,698424510
MLA,691206010
MLA,760634995
MLA,618435217
MLA,810756822
MLA,803479030
MLA,734648327
MLA,769513062
MLA,840799107
MLA,826942127
MLA,848602073
MLA,837287394
MLA,810657417
MLA,748390261
MLA,775042703
MLA,844166226
MLA,748565597
MLA,828377610
MLA,826807688
MLA,692073241
MLA,841768602
MLA,614161087
MLA,723009261
MLA,797511593
MLA,845967627
MLA,846367181
MLA,786660998
MLA,611997606
MLA,723190349
MLA,840554191
MLA,817305444
MLA,807338040
MLA,827515186
MLA,791969362
MLA,851871687
MLA,817389068
MLA,691344284
MLA,679895899
MLA,761786746
MLA,733407371
MLA,815165421
MLA,829171386
MLA,839675151
MLA,829558440
MLA,844236553
MLA,794081789
MLA,800792750
MLA,844373469
MLA,741800462
MLA,722143928
MLA,801204815
MLA,823308070
MLA,840414276
MLA,806940750
MLA,659875478
MLA,841790331
MLA,609077021
MLA,826490817
MLA,829547508
MLA,815824285
MLA,771354051
MLA,827561742
MLA,749803116
MLA,661278383
MLA,828640465
MLA,816462158
MLA,836063092
MLA,680397889
MLA,825232465
MLA,771580578
MLA,725503313
MLA,723273376
MLA,723706076
MLA,810743159
MLA,779727942
MLA,683578568
MLA,841805101
MLA,670013474
MLA,754249979
MLA,745057319
MLA,692702198
MLA,784969732
MLA,795948670
MLA,828007382
MLA,697752217
MLA,641283540
MLA,690113346
MLA,851772572
MLA,805479216
MLA,723717745
MLA,761381956
MLA,847674545
MLA,679166549
MLA,845583220
MLA,828102088
MLA,820080542
MLA,799895953
MLA,759605603
MLA,827283343
MLA,824628526
MLA,725748484
MLA,847239300
MLA,849867162
MLA,719164013
MLA,830155490
MLA,846382440
MLA,839126778
MLA,668915668
MLA,849955126
MLA,847772757
MLA,836201638
MLA,843244579
MLA,830398575
MLA,842824846
MLA,761320349
MLA,852111049
MLA,848712588
MLA,709431943
MLA,832381998
MLA,848705607
MLA,667705272
MLA,790135655
MLA,841635607
MLA,798198065
MLA,695549400
MLA,742595795
MLA,675808468
MLA,847622395
MLA,615415547
MLA,825851437
MLA,835658920
MLA,806770722
MLA,738223331
MLA,828608638
MLA,828309877
MLA,843262147
MLA,851567606
MLA,851034464
MLA,837600134
MLA,849446582
MLA,829395201
MLA,817399652
MLA,738537446
MLA,801664027
MLA,776001951
MLA,686465664
MLA,806676315
MLA,784374753
MLA,754113866
MLA,786688762
MLA,737948570
MLA,738635253
MLA,783629921
MLA,766748839
MLA,849100560
MLA,755625194
MLA,816616237
MLA,603995132
MLA,829138064
MLA,801622341
MLA,720694473
MLA,719622430
MLA,643683533
MLA,787449956
MLA,845741725
MLA,609595286
MLA,851148111
MLA,833611538
MLA,851277263
MLA,622412802
MLA,851531952
MLA,848829441
MLA,808253611
MLA,847979870
MLA,850679538
MLA,839060748
MLA,755510908
MLA,812864653
MLA,810252721
MLA,690972712
MLA,845382136
MLA,848745062
MLA,798843576
MLA,740237244
MLA,849051064
MLA,728487389
MLA,752739995
MLA,822965154
MLA,680527812
MLA,832743411
MLA,805221831
MLA,680597781
MLA,673743474
MLA,745022326
MLA,647130259
MLA,667555961
MLA,852018324
MLA,823745586
MLA,801198266
MLA,837144485
MLA,630995752
MLA,733241938
MLA,764781289
MLA,756759888
MLA,758266263
MLA,721655024
MLA,842764821
MLA,837719204
MLA,841200427
MLA,674393748
MLA,817151945
MLA,804750260
MLA,824298273
MLA,761733729
MLA,838207320
MLA,735208181
MLA,705456364
MLA,788874663
MLA,784833687
MLA,801233964
MLA,623631445
MLA,823289466
MLA,761857935
MLA,787200823
MLA,687472063
MLA,839084261
MLA,813840673
MLA,830206526
MLA,659151087
MLA,807315293
MLA,718469614
MLA,690202444
MLA,836197516
MLA,803868186
MLA,763031636
MLA,805989229
MLA,793011860
MLA,746765227
MLA,672179308
MLA,824829014
MLA,627358361
MLA,821692617
MLA,823548911
MLA,844372324
MLA,815832102
MLA,810730517
MLA,825466596
MLA,809942679
MLA,705020957
MLA,837302440
MLA,790367143
MLA,690614615
MLA,776767951
MLA,828127015
MLA,720966298
MLA,821587936
MLA,814420697
MLA,771379146
MLA,829305400
MLA,721108347
MLA,603523445
MLA,695387311
MLA,833696542
MLA,769217639
MLA,851320527
MLA,832362914
MLA,829910574
MLA,826854383
MLA,791750361
MLA,658003814
MLA,821610129
MLA,789053996
MLA,824006861
MLA,781983283
MLA,838692714
MLA,713125565
MLA,795308061
MLA,608039090
MLA,826323668
MLA,841229536
MLA,807373229
MLA,809290585
MLA,848623792
MLA,809262228
MLA,782176255
MLA,848241538
MLA,842230514
MLA,848618021
MLA,836889600
MLA,823870891
MLA,738524372
MLA,775838891
MLA,683564662
MLA,655918018
MLA,824697449
MLA,838372321
MLA,722591610
MLA,846037905
MLA,660337092
MLA,763821737
MLA,781253744
MLA,814378857
MLA,816531589
MLA,714456470
MLA,843526063
MLA,828697476
MLA,795294606
MLA,786887534
MLA,630804531
MLA,691058084
MLA,833371838
MLA,848367614
MLA,744662552
MLA,816160841
MLA,829577675
MLA,745392005
MLA,720858165
MLA,735799453
MLA,729645787
MLA,828887449
MLA,725997501
MLA,715080225
MLA,847400378
MLA,842322055
MLA,817855768
MLA,763300880
MLA,820680673
MLA,760678646
MLA,833861690
MLA,843335445
MLA,721766254
MLA,814724731
MLA,848651298
MLA,846527904
MLA,670760526
MLA,687492348
MLA,851704090
MLA,845487618